C,C_eff,padded,pad_added,divisible_256,B,T,dtype,device,avg_ms,est_TFLOPS,error
4376,4608,1,232,0,4,1,bfloat16,cuda,0.5041698654492696,2.6954298325407158,
4384,4384,0,0,0,4,1,bfloat16,cuda,0.4801229308048884,2.561938006039257,
4384,4608,1,224,0,4,1,bfloat16,cuda,0.5014287650585174,2.710164614990542,
4392,4392,0,0,0,4,1,bfloat16,cuda,0.4868072321017583,2.5359904590364466,
4392,4608,1,216,0,4,1,bfloat16,cuda,0.5034764667352041,2.6991420369896293,
4400,4400,0,0,0,4,1,bfloat16,cuda,0.4830837686856588,2.564855373574432,
4400,4608,1,208,0,4,1,bfloat16,cuda,0.5020744989315669,2.706678986668125,
4408,4408,0,0,0,4,1,bfloat16,cuda,0.48893633087476096,2.5433775677400625,
4408,4608,1,200,0,4,1,bfloat16,cuda,0.502084168791771,2.706626857545071,
4416,4416,0,0,0,4,1,bfloat16,cuda,0.4879879673322042,2.557578603470691,
4416,4608,1,192,0,4,1,bfloat16,cuda,0.4991818974415461,2.72236333682179,
4424,4424,0,0,0,4,1,bfloat16,cuda,0.4839644362529119,2.588193615419739,
4424,4608,1,184,0,4,1,bfloat16,cuda,0.5051088343063991,2.6904191803853066,
4432,4432,0,0,0,4,1,bfloat16,cuda,0.4865493685007095,2.5837623422959326,
4432,4608,1,176,0,4,1,bfloat16,cuda,0.5043808321158091,2.694302418867447,
4440,4440,0,0,0,4,1,bfloat16,cuda,0.49304610093434653,2.5589298802060756,
4440,4608,1,168,0,4,1,bfloat16,cuda,0.5089198638995488,2.67027206520717,
4448,4448,0,0,0,4,1,bfloat16,cuda,0.48749156594276427,2.5974214621564657,
4448,4608,1,160,0,4,1,bfloat16,cuda,0.5019768327474594,2.7072056066055126,
4456,4456,0,0,0,4,1,bfloat16,cuda,0.49174466729164124,2.584227117294457,
4456,4608,1,152,0,4,1,bfloat16,cuda,0.5035087982813518,2.6989687183989193,
4464,4464,0,0,0,4,1,bfloat16,cuda,0.5019881665706635,2.5405916492266014,
4464,4608,1,144,0,4,1,bfloat16,cuda,0.5032934645811716,2.7001234699737027,
4472,4472,0,0,0,4,1,bfloat16,cuda,0.49455306529998777,2.5880381010754028,
4472,4608,1,136,0,4,1,bfloat16,cuda,0.5057901312907537,2.6867951981032316,
4480,4480,0,0,0,4,1,bfloat16,cuda,0.49251980185508726,2.608028337463549,
4480,4608,1,128,0,4,1,bfloat16,cuda,0.5051598330338796,2.690147567431117,
4488,4488,0,0,0,4,1,bfloat16,cuda,0.4948547671238581,2.605001106672878,
4488,4608,1,120,0,4,1,bfloat16,cuda,0.5031064341465632,2.701127244188879,
4496,4496,0,0,0,4,1,bfloat16,cuda,0.4907980352640152,2.635905058796906,
4496,4608,1,112,0,4,1,bfloat16,cuda,0.5096841702858607,2.666267809019493,
4504,4504,0,0,0,4,1,bfloat16,cuda,0.4953556676705678,2.6209552221443984,
4504,4608,1,104,0,4,1,bfloat16,cuda,0.5054188350836436,2.6887690004174494,
4512,4512,0,0,0,4,1,bfloat16,cuda,0.49475436508655546,2.6334708856425326,
4512,4608,1,96,0,4,1,bfloat16,cuda,0.5075886011123657,2.677275441217337,
4520,4520,0,0,0,4,1,bfloat16,cuda,0.5043695032596588,2.5924358858922742,
4520,4608,1,88,0,4,1,bfloat16,cuda,0.5063811679681142,2.683659231351136,
4528,4528,0,0,0,4,1,bfloat16,cuda,0.4961347003777822,2.644802258340005,
4528,4608,1,80,0,4,1,bfloat16,cuda,0.5067781676848729,2.68155690725223,
4536,4536,0,0,0,4,1,bfloat16,cuda,0.5087686002254486,2.5882472766921607,
4536,4608,1,72,0,4,1,bfloat16,cuda,0.5076335350672404,2.6770384581073725,
4544,4544,0,0,0,4,1,bfloat16,cuda,0.4972184658050537,2.657720891078315,
4544,4608,1,64,0,4,1,bfloat16,cuda,0.5069802323977153,2.680488131801417,
4552,4552,0,0,0,4,1,bfloat16,cuda,0.5081265658140183,2.6098321662744577,
4552,4608,1,56,0,4,1,bfloat16,cuda,0.5069921970367431,2.6804248742737804,
4560,4560,0,0,0,4,1,bfloat16,cuda,0.5055141349633535,2.6325483462425314,
4560,4608,1,48,0,4,1,bfloat16,cuda,0.5042205015818279,2.695159145129407,
4568,4568,0,0,0,4,1,bfloat16,cuda,0.5119259973367055,2.6087050529720113,
4568,4608,1,40,0,4,1,bfloat16,cuda,0.507156495253245,2.679556524897538,
4576,4576,0,0,0,4,1,bfloat16,cuda,0.5008924335241318,2.6755158878546625,
4576,4608,1,32,0,4,1,bfloat16,cuda,0.5030784656604131,2.7012774124927827,
4584,4584,0,0,0,4,1,bfloat16,cuda,0.5095552325248718,2.6392341755304365,
4584,4608,1,24,0,4,1,bfloat16,cuda,0.5067884653806687,2.68150241931658,
4592,4592,0,0,0,4,1,bfloat16,cuda,0.5032338013251623,2.681723072747263,
4592,4608,1,16,0,4,1,bfloat16,cuda,0.5063659350077311,2.6837399636277897,
4600,4600,0,0,0,4,1,bfloat16,cuda,0.5119032621383667,2.645499843745772,
4600,4608,1,8,0,4,1,bfloat16,cuda,0.5059384733438492,2.6860074250103896,
4608,4608,0,0,1,4,1,bfloat16,cuda,0.504718937476476,2.6924975369352735,
4608,4608,1,0,1,4,1,bfloat16,cuda,0.5075788338979085,2.6773269593690987,
4616,4616,0,0,0,4,1,bfloat16,cuda,0.5086592038472494,2.6809250155817743,
4616,4864,1,248,0,4,1,bfloat16,cuda,0.5542084674040476,2.7320833820752655,
4624,4624,0,0,0,4,1,bfloat16,cuda,0.5152830322583516,2.655643555741828,
4624,4864,1,240,0,4,1,bfloat16,cuda,0.5569273650646209,2.7187454576312877,
4632,4632,0,0,0,4,1,bfloat16,cuda,0.5257727622985839,2.6116741574760316,
4632,4864,1,232,0,4,1,bfloat16,cuda,0.5574491282304128,2.7162007568413533,
4640,4640,0,0,0,4,1,bfloat16,cuda,0.5212997357050578,2.643190290776568,
4640,4864,1,224,0,4,1,bfloat16,cuda,0.5535630027453105,2.735269041628211,
4648,4648,0,0,0,4,1,bfloat16,cuda,0.524896768728892,2.634136726252425,
4648,4864,1,216,0,4,1,bfloat16,cuda,0.5544091363747915,2.7310945016180415,
